query_type,n,invalid,invalid_rate,acc_all,acc_valid_only
backadj,444,0,0.0,0.5,0.5
marginal,444,0,0.0,0.4954954954954955,0.4954954954954955
ate,396,0,0.0,0.7878787878787878,0.7878787878787878
correlation,396,0,0.0,0.5378787878787878,0.5378787878787878
det-counterfactual,396,0,0.0,0.5631313131313131,0.5631313131313131
ett,336,0,0.0,0.48214285714285715,0.48214285714285715
nie,228,0,0.0,0.5745614035087719,0.5745614035087719
nde,144,0,0.0,0.5138888888888888,0.5138888888888888
collider_bias,48,0,0.0,0.5,0.5
exp_away,48,0,0.0,0.22916666666666666,0.22916666666666666
