query_type,n,invalid,invalid_rate,acc_all,acc_valid_only
backadj,444,0,0.0,0.4166666666666667,0.4166666666666667
marginal,444,0,0.0,0.509009009009009,0.509009009009009
ate,396,0,0.0,0.9444444444444444,0.9444444444444444
correlation,396,0,0.0,0.5984848484848485,0.5984848484848485
det-counterfactual,396,0,0.0,0.6212121212121212,0.6212121212121212
ett,336,0,0.0,0.4880952380952381,0.4880952380952381
nie,228,0,0.0,0.6096491228070176,0.6096491228070176
nde,144,0,0.0,0.5208333333333334,0.5208333333333334
collider_bias,48,0,0.0,0.5,0.5
exp_away,48,0,0.0,0.4791666666666667,0.4791666666666667
